"","Comment","ID","Kingdom","Phylum","Class","Order","Family","Genus","Genus.In.UK","Average_confidence","PW","MC","CM","WC","AG","MM","CC","PH","ML","HH","JH","MB","SK","SP"
"43","Multi_ASVs_Merged_rbcL_dada2","6a22640301ca339daeec2ef45130706c","Viridiplantae","Streptophyta","asterids","Solanales","Convolvulaceae","Calystegia","Y",0.999999987350167,0,0,627,0,0,179,0,0,0,0,0,0,0,0
"44","Single_ASV_in_Data_rbcL_dada2","b2489a4fab784486eb0e9193ba53d6c6","Viridiplantae","Streptophyta","Liliopsida","Asparagales","Iridaceae","Crocosmia","Y",0.862142358651927,0,0,383,0,0,0,0,0,0,0,0,0,0,0
"45","Multi_ASVs_Merged_rbcL_dada2","4b025395a9de1f5e610d58fd04a3cf8d","Viridiplantae","Streptophyta","rosids","Sapindales","Simaroubaceae","Ailanthus","Y",0.999470306321271,315,0,27,0,0,176,0,0,0,0,0,0,0,0
"46","Multi_ASVs_Merged_rbcL_dada2","50a4b1bd23fcbac3748778d493fd8679","Viridiplantae","Streptophyta","rosids","Fagales","Fagaceae","Castanea","Y",0.999999997613613,0,128,0,0,0,0,0,0,0,0,0,0,85,177
"47","Multi_ASVs_Merged_rbcL_dada2","60bb81acb1f479a4abe28e1dd6ce8e03","Viridiplantae","Streptophyta","asterids","Lamiales","Oleaceae","Jasminum","Y",0.994965513704374,0,0,410,0,0,0,0,0,0,0,0,0,0,0
"48","Single_ASV_in_Data_rbcL_dada2","11cdd1fa153c79c8fd3191899a8de7cf","Viridiplantae","Streptophyta","rosids","Fabales","Fabaceae","Gleditsia","Y",0.999432348120684,0,0,268,0,0,0,0,0,0,0,0,0,0,0
"49","Single_ASV_in_Data_rbcL_dada2","6a4de722834878cc552f5c8fc5343293","Viridiplantae","Streptophyta","asterids","Apiales","Araliaceae","Hedera","Y",0.999995206340037,0,0,0,0,0,0,0,0,0,0,0,0,0,188
"50","Multi_ASVs_Merged_rbcL_dada2","3186dca4e7b59911a002b7a217b2f659","Viridiplantae","Streptophyta","rosids","Myrtales","Onagraceae","Oenothera","Y",0.970404815098804,0,0,204,0,0,0,0,0,0,0,0,0,0,0
"51","Single_ASV_in_Data_rbcL_dada2","82fe537184738150a813826a267b3e22","Viridiplantae","Streptophyta","asterids","Dipsacales","Adoxaceae","Sambucus","Y",0.992218711494964,0,0,154,0,0,0,0,0,0,0,0,0,0,0
"52","Multi_ASVs_Merged_rbcL_dada2","41f64a866a3332451e05ecb88142c687","Viridiplantae","Streptophyta","rosids","Myrtales","Onagraceae","Fuchsia","Y",0.988313641478405,0,0,0,0,0,24,0,0,64,0,0,0,0,90
"53","Single_ASV_in_Data_rbcL_dada2","e5daaabe50c24c557e2a1fdab8bd1be4","Viridiplantae","Streptophyta","asterids","Dipsacales","Caprifoliaceae","Symphoricarpos","Y",0.950793861790099,0,0,152,0,0,0,0,0,0,0,0,0,0,0
"54","Single_ASV_in_Data_rbcL_dada2","25de54369b67b6c032f6acc6d81e2b8b","Viridiplantae","Streptophyta","asterids","Asterales","Asteraceae","Leontodon","Y",0.994855736102045,0,0,147,0,0,0,0,0,0,0,0,0,0,0
"55","Single_ASV_in_Data_rbcL_dada2","2fd88ef432d5881793ce82a31c28b5a4","Viridiplantae","Streptophyta","","Ranunculales","Berberidaceae","Berberis","Y",0.875040272163944,0,0,121,0,0,0,0,0,0,0,0,0,0,0
"56","Single_ASV_in_Data_rbcL_dada2","81ca4f6c5c32c91e5250161ec10cead2","Viridiplantae","Streptophyta","rosids","Fagales","Betulaceae","Betula","Y",0.851062778834672,0,0,117,0,0,0,0,0,0,0,0,0,0,0
"57","Multi_ASVs_Merged_rbcL_dada2","5ec912456b56fcbc96a51cbdbfb61f4a","Viridiplantae","Streptophyta","asterids","Lamiales","Lamiaceae","Lavandula","Y",0.839490391975851,0,0,0,0,0,132,0,0,0,0,0,0,0,0
"58","Multi_ASVs_Merged_rbcL_dada2","6d781040b92578e2ed4f663bc42ee7b6","Viridiplantae","Streptophyta","rosids","Brassicales","Brassicaceae","Brassica","Y",0.9963852157618,24,0,0,37,0,0,44,0,108,0,0,0,0,0
